Time [ms];X;Y;Z;W;P;R;J1;J2;J3;J4;J5;J6;
 0; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 8; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 16; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 24; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 32; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 40; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 56; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 64; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 72; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 80; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 88; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 96; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 104; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 112; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 120; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 128; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 136; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 144; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 152; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 160; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 168; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 184; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 192; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 200; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 208; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 216; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 224; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 232; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 240; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 248; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 256; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 264; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 272; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 280; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 288; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 296; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 312; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 320; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 328; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 336; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 344; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
 352; 1080.711; 0.000; 869.289; -180.000; -45.000; 0.000; 0.000; 0.000; 0.000; 0.000; -45.000; 0.000;
